a;ein
foot;Fuß
for;zum
force;Macht
foreign;fremd
forget;vergessen
form;bilden
former;ehemalige
forward;nach vorne
four;vier
free;frei
friend;Freund
from;von
front;Vorderseite
full;voll
fund;Fonds
future;Zukunft
game;Spiel
garden;Garten
gas;Gas
general;Allgemeines
generation;Generation
get;bekommen
girl;Mädchen
give;geben
glass;Glas
go;gehen
goal;Tor
good;gut
government;Regierung
great;groß
green;Grün
ground;Boden
group;Gruppe
grow;wachsen
growth;Wachstum
guess;vermuten
gun;Gewehr
guy;Kerl
hair;Haar
half;Hälfte
hand;Hand
hang;aufhängen
happen;geschehen
happy;glücklich
hard;hart
have;haben
he;er
head;Kopf
health;Gesundheit
hear;hören
heart;Herz
heat;Hitze
heavy;schwer
help;Hilfe
her;ihr
here;Hier
herself;Sie selber
high;hoch
him;ihm
himself;selbst
his;seine
history;Geschichte
hit;schlagen
hold;halt
home;Zuhause
hope;Hoffnung
hospital;Krankenhaus
hot;heiß
hotel;Hotel
hour;Stunde
house;Haus
how;Wie
however;jedoch
huge;enorm
human;Mensch
hundred;hundert
husband;Mann
I;ich
idea;Idee
identify;identifizieren
if;ob
image;Bild
imagine;vorstellen
impact;Auswirkung
important;wichtig
improve;verbessern
in;im
include;einschließen
including;einschließlich
increase;erhöhen, ansteigen
indeed;tatsächlich
indicate;zeigen
individual;Individuell
industry;Industrie
information;Information
inside;Innerhalb
instead;stattdessen
institution;Institution
interest;Interesse
interesting;interessant
international;International
interview;Interview
into;in
investment;Investition
involve;involvieren
issue;Problem
it;es
item;Artikel
its;es ist
itself;selbst
job;Job
join;Beitreten
just;gerade
keep;behalten
key;Schlüssel
kid;Kind
kill;töten
kind;nett
kitchen;Küche
know;kennt
knowledge;Wissen
land;Land
language;Sprache
large;groß
last;letzte
late;spät
later;später
laugh;Lachen
law;Recht
lawyer;Anwalt
lay;legen
lead;führen
leader;Führer
learn;lernen
least;am wenigsten
leave;verlassen
left;links
leg;Bein
legal;legal
less;Weniger
let;Lassen
letter;Brief
level;Niveau
lie;Lüge
life;Leben
light;Licht
like;mögen
likely;wahrscheinlich
line;Linie
list;Liste
listen;Hör mal zu
little;wenig
live;Leben
local;lokal
long;lange
look;aussehen
lose;verlieren
loss;Verlust
lot;Menge
love;Liebe
low;niedrig
machine;Maschine
magazine;Zeitschrift
main;Main
maintain;pflegen
major;Haupt
majority;Mehrheit
make;machen
man;Mann
manage;verwalten
management;Management
manager;Manager
many;viele
market;Markt
marriage;Ehe
material;Material
matter;Angelegenheit
may;kann
maybe;könnte sein
me;mich
mean;bedeuten
measure;messen
media;Medien
medical;medizinisch
meet;Treffen
meeting;Treffen
member;Mitglied
memory;Erinnerung
mention;erwähnen
message;Botschaft
method;Methode
middle;Mitte
might;Macht
military;Militär-
million;Million
mind;Verstand
minute;Minute
miss;Fräulein
mission;Mission
model;Modell-
modern;modern
moment;Moment
money;Geld
month;Monat
more;Mehr
morning;Morgen
most;die meisten
mother;Mutter
mouth;Mund
move;Bewegung
movement;Bewegung
movie;Film
Mr;Herr
Mrs;Frau
much;viel
music;Musik-
must;Muss
my;meine
myself;mich selber
name;Name
nation;Nation
national;National
natural;natürlich
nature;Natur
near;in der Nähe von
nearly;fast
necessary;notwendig
need;brauchen
network;Netzwerk
never;noch nie
new;Neu
news;Nachrichten
newspaper;Zeitung
next;Nächster
nice;nett
night;Nacht-
no;Nein
none;keiner
nor;Noch
north;Norden
not;nicht
note;Hinweis
nothing;nichts
notice;beachten
now;jetzt
n't;nicht
number;Nummer
occur;auftreten
of;von
off;aus
offer;Angebot
office;Büro
officer;Offizier
official;offiziell
often;häufig
oh;Oh
oil;Öl
ok;OK
old;alt
on;auf
once;Einmal
one;ein
only;nur
onto;auf zu
open;öffnen
operation;Betrieb
opportunity;Gelegenheit
option;Möglichkeit
or;oder
order;Auftrag
organization;Organisation
other;andere
others;Andere
our;unser
out;aus
outside;draußen
over;Über
own;besitzen
owner;Inhaber
page;Seite
pain;Schmerzen
painting;Gemälde
paper;Papier-
parent;Elternteil
part;Teil
participant;Teilnehmer
particular;besonders
particularly;insbesondere
partner;Partner
party;Party
pass;bestehen
past;Vergangenheit
patient;geduldig
pattern;Muster
pay;Zahlen
peace;Frieden
people;Menschen
per;pro
perform;ausführen
performance;Performance
perhaps;vielleicht
period;Zeitraum
person;Person
personal;persönlich
phone;Telefon
physical;physisch
pick;wählen
picture;Bild
piece;Stück
place;Ort
plan;planen
plant;Pflanze
play;abspielen
player;Spieler
PM;PM
point;Punkt
police;Polizei
policy;Politik
political;politisch
politics;Politik
poor;Arm
popular;Beliebt
population;Population
position;Position
positive;positiv
possible;möglich
power;Leistung
practice;trainieren
prepare;bereiten
present;Geschenk
president;Präsident
pressure;Druck
pretty;ziemlich
prevent;verhindern
price;Preis
private;Privatgelände
probably;wahrscheinlich
problem;Problem
process;verarbeiten
produce;produzieren
product;Produkt
production;Produktion
professional;Professionel
professor;Professor
program;Programm
project;Projekt
property;Eigentum
protect;schützen
prove;beweisen
provide;zu Verfügung stellen
public;Öffentlichkeit
pull;ziehen
purpose;Zweck
push;drücken
put;stellen
quality;Qualität
question;Frage
quickly;schnell
quite;ganz
race;Rennen
radio;Radio
raise;erziehen
range;Angebot
rate;Bewertung
rather;lieber
reach;erreichen
read;lesen
ready;bereit
real;echt
reality;Wirklichkeit
realize;realisieren
really;Ja wirklich
reason;Grund
receive;erhalten
recent;kürzlich
recently;vor kurzem
recognize;erkenne
record;Aufzeichnung
red;rot
reduce;reduzieren
reflect;reflektieren
region;Region
relate;sich beziehen
relationship;Beziehung
religious;religiös
remain;bleiben übrig
remember;merken
remove;Löschen
report;Bericht
represent;vertreten
Republican;Republikaner
require;benötigen
research;Forschung
resource;Ressource
respond;reagieren
response;Antwort
responsibility;Verantwortung
rest;sich ausruhen
result;Ergebnis
return;Rückkehr
reveal;verraten
rich;Reich
right;Recht
rise;erhebt euch
risk;Risiko
road;Straße
rock;Rock
role;Rolle
room;Zimmer
rule;Regel
run;Lauf
safe;sicher
same;gleich
save;sparen
say;sagen
scene;Szene
school;Schule
science;Wissenschaft
scientist;Wissenschaftler
score;Ergebnis
sea;Meer
season;Jahreszeit
seat;Sitz
second;zweite
section;Sektion
security;Sicherheit
see;sehen
seek;suchen
seem;scheinen
sell;verkaufen
send;senden
senior;Senior
sense;Sinn
series;Serie
serious;ernst
serve;Dienen
service;Bedienung
set;einstellen
seven;Sieben
several;mehrere
sex;Sex
sexual;sexuell
shake;Shake
share;Aktie
she;sie
shoot;schießen
short;kurz
shot;Schuss
should;sollte
shoulder;Schulter
show;Show
side;Seite
sign;Schild
significant;von Bedeutung
similar;ähnlich
simple;einfach
simply;einfach
since;schon seit
sing;singen
single;Single
sister;Schwester
sit;sitzen
site;Seite? ˅
situation;Lage
six;sechs
size;Größe
skill;Fertigkeit
skin;Haut
small;klein
smile;Lächeln
so;damit
social;Sozial
society;Gesellschaft
soldier;Soldat
some;etwas
somebody;jemand
someone;jemand
something;etwas
sometimes;manchmal
son;Sohn
song;Lied
soon;bald
sort;Sortieren
sound;klingen
source;Quelle
south;Süd
southern;Süd-
space;Raum
speak;sprechen
special;Besondere
specific;Spezifisch
speech;Rede
spend;verbringen
sport;Sport
spring;Frühling
staff;Mitarbeiter
stage;Bühne
stand;Stand
standard;Standard
star;Star
start;Anfang
state;Zustand
statement;Erklärung
station;Bahnhof
stay;bleibe
step;Schritt
still;immer noch
stock;Stock
stop;halt
store;Geschäft
story;Geschichte
strategy;Strategie
street;Straße
strong;stark
structure;Struktur
student;Schüler
study;Studie
stuff;Sachen
style;Stil
subject;Gegenstand
success;Erfolg
successful;erfolgreich
such;eine solche
suddenly;plötzlich
suffer;leiden
suggest;vorschlagen
summer;Sommer-
support;Unterstützung
sure;sicher
surface;Oberfläche
system;System
table;Tabelle
take;nehmen
talk;sich unterhalten
task;Aufgabe
tax;MwSt
teach;lehren
teacher;Lehrer
team;Mannschaft
technology;Technologie
television;Fernsehen
tell;sagen
ten;zehn
tend;neigen
term;Begriff
test;Prüfung
than;als
thank;danken
that;Das
the;das
their;ihr
them;Sie
themselves;sich
then;dann
theory;Theorie
there;Dort
these;diese
they;Sie
thing;Ding
think;denken
third;dritte
this;Dies
those;jene
though;obwohl
thought;habe gedacht
thousand;tausend
threat;Bedrohung
three;drei
through;durch
throughout;während
throw;werfen
thus;so
time;Zeit
to;zu
today;heute
together;zusammen
tonight;heute Abend
too;auch
top;oben
total;gesamt
tough;zäh
toward;zu
town;Stadt, Dorf
trade;Handel
traditional;traditionell
training;Ausbildung
travel;Reise
treat;behandeln
treatment;Behandlung
tree;Baum
trial;Versuch
trip;Ausflug
trouble;Ärger
true;wahr
truth;Wahrheit
try;Versuchen
turn;Wende
TV;Fernseher
two;zwei
type;Art
under;unter
understand;verstehen
unit;Einheit
until;bis
up;oben
upon;auf
us;uns
use;benutzen
usually;gewöhnlich
value;Wert
various;verschiedene
very;sehr
victim;Opfer
view;Aussicht
violence;Gewalt
visit;Besuch
voice;Stimme
vote;Abstimmung
wait;warten
walk;gehen
wall;Mauer
want;wollen
war;Krieg
watch;Uhr
water;Wasser
way;Weg
we;wir
weapon;Waffe
wear;tragen
week;Woche
weight;Gewicht
well;Gut
west;West-
western;Western
what;Was
whatever;was auch immer
when;wann
where;woher
whether;ob
which;welche
while;während
white;Weiß
who;Wer
whole;ganze
whom;wem
whose;deren
why;Warum
wide;breit
wife;Ehefrau
will;werden
win;Sieg
wind;Wind
window;Fenster
wish;Wunsch
with;mit
within;innerhalb
without;ohne
woman;Frau
wonder;Wunder
word;Wort
work;Arbeit
worker;Arbeitnehmer
world;Welt
worry;Sorge
would;würde
write;schreiben
writer;Schriftsteller
wrong;falsch
yard;Garten
yeah;Ja
year;Jahr
yes;Ja
yet;noch
you;Sie
young;jung
your;Ihre
yourself;dich selber
consider;Erwägen
minute;Minute
accord;Übereinstimmung
evident;offensichtlich
practice;trainieren
intend;wollen
concern;Besorgnis, Sorge
commit;verpflichten
issue;Problem
approach;Ansatz
establish;Gründen
utter;äußern
conduct;Verhalten
engage;engagieren
obtain;erhalten
scarce;knapp
policy;Politik
straight;Gerade
stock;Stock
apparent;ersichtlich
property;Eigentum
fancy;schick
concept;Konzept
court;Gericht
appoint;ernennen
passage;Passage
vain;vergeblich
instance;Beispiel
coast;Küste
project;Projekt
commission;Kommission
constant;Konstante
circumstances;Umstände
constitute;bilden
level;Niveau
affect;beeinflussen
institute;Institut
render;machen
appeal;Beschwerde
generate;generieren
theory;Theorie
range;Angebot
campaign;Kampagne
league;Liga
labor;Arbeit
confer;verleihen
grant;gewähren
dwell;wohnen
entertain;unterhalten
contract;Vertrag
earnest;Ernst
yield;Ausbeute
wander;wandern
insist;darauf bestehen
knight;Ritter
convince;überzeugen
inspire;inspirieren
convention;Konvention
skill;Fertigkeit
harry;Harry
financial;finanziell
reflect;reflektieren
novel;Roman
furnish;liefern
compel;zwingen
venture;wagen
territory;Gebiet
temper;Temperament
bent;gebogen
intimate;intim
undertake;übernehmen
majority;Mehrheit
assert;behaupten
crew;Crew
chamber;Kammer
humble;demütigen
scheme;planen
keen;daran interessiert
liberal;Liberale
despair;Verzweiflung
tide;Tide
attitude;Haltung
justify;rechtfertigen
flag;Flagge
merit;verdienen
manifest;Manifest
notion;Begriff
scale;Rahmen
formal;formal
resource;Ressource
persist;fortdauern
contempt;Verachtung
tour;Tour
plead;plädieren
weigh;wiegen
mode;Modus
distinction;Unterscheidung
inclined;geneigt
attribute;Attribut
exert;ausüben
oppress;unterdrücken
contend;kämpfen
stake;Anteil
toil;Mühsal
perish;umkommen
disposition;Anordnung
rail;Schiene
cardinal;Kardinal
boast;Prahlerei
advocate;befürworten
bestow;verleihen
allege;behaupten
notwithstanding;trotz
lofty;erhaben
multitude;Vielzahl
steep;steil
heed;beachten
modest;bescheiden
partial;teilweise
apt;geeignet
esteem;Wertschätzung
credible;glaubwürdig
provoke;provozieren
tread;treten
ascertain;ermitteln
fare;Fahrpreis
cede;abtreten
perpetual;ewig
decree;Dekret
contrive;ersinnen
derived;abgeleitet
elaborate;erarbeiten
substantial;wesentlich
frontier;Grenze
facile;leicht
cite;zitieren
warrant;rechtfertigen
sob;Schluchzen
rider;Fahrer
dense;dicht
afflict;Plagen
flourish;blühen
ordain;ordinieren
pious;fromm
vex;ärgern
gravity;Schwere
suspended;suspendiert
conspicuous;auffällig
retort;Retorte
jet;Jet
bolt;Bolzen
assent;Zustimmung
purse;Geldbörse
plus;Plus
sanction;Sanktion
proceeding;fortfahren
exalt;erhöhen
siege;Belagerung
malice;Bosheit
extravagant;extravagant
wax;Wachs
throng;Menschenmenge
venerate;verehren
assail;angreifen
sublime;sublimieren
exploit;Ausbeuten
exertion;Anstrengung
kindle;entzünden
endow;schenken
imposed;auferlegt
humiliate;demütigen
suffrage;Wahlrecht
ensue;erfolgen
brook;Bach
gale;Sturm
muse;Muse
satire;Satire
intrigue;Intrigen
indication;Indikation
dispatch;Versand
cower;kauern
wont;Gewohnheit
tract;Traktat
canon;Kanon
impel;treiben
latitude;Breite
vacate;räumen
undertaking;Unternehmen
slay;erschlagen
predecessor;Vorgänger
delicacy;Delikatesse
forsake;verlassen
beseech;bitten
philosophical;philosophisch
grove;Hain
frustrate;vereiteln
illustrious;illustre
device;Gerät
pomp;Pomp
entreat;anflehen
impart;vermitteln
propriety;Anstand
consecrate;weihen
proceeds;Erlös
fathom;ergründen
objective;Zielsetzung
clad;gekleidet
partisan;Partisan
faction;Fraktion
contrived;gekünstelt
venerable;ehrwürdig
restrained;zurückhaltend
besiege;belagern
manifestation;Manifestation
rebuke;Tadel
insurgent;Aufständischer
rhetoric;Rhetorik
scrupulous;gewissenhaft
ratify;ratifizieren
stump;Stumpf
discreet;diskret
imposing;imposant
wistful;wehmütig
mortify;vernichtend
ripple;Welligkeit
premise;Prämisse
subside;nachlassen
adverse;ungünstig
caprice;Laune
muster;aufbringen
comprehensive;umfassend
accede;beitreten
fervent;glühend
cohere;zusammenhängen
tribunal;Gericht
austere;streng
recovering;erholt
stratum;Schicht
conscientious;gewissenhaft
arbitrary;willkürlich
exasperate;verzweifelt
conjure;zaubern
ominous;ominös
edifice;Gebäude
elude;entziehen
pervade;durchdringen
foster;fördern
admonish;ermahnen
repeal;Aufhebung
retiring;in Rente gehen
incidental;zufällig
acquiesce;dulden
slew;schwenken
usurp;usurpieren
sentinel;Wächter
precision;Präzision
depose;absetzen
wanton;mutwillig
odium;Odium
precept;Gebot
deference;Ehrerbietung
fray;Kampf
candid;offen
enduring;ausdauernd
impertinent;unverschämt
bland;fade
insinuate;unterstellen
nominal;nominal
suppliant;Bittsteller
languid;matt
rave;Rave
monetary;Geld
headlong;kopfüber
infallible;unfehlbar
coax;Koax
explicate;explizieren
gaunt;hager
morbid;morbid
ranging;reichend
pacify;beruhigen
pastoral;pastoral
dogged;verbissen
ebb;Ebbe
aide;Berater
appease;beschwichtigen
stipulate;festsetzen
recourse;Zuflucht
constrained;eingeschränkt
bate;baten
aversion;Abneigung
conceit;Einbildung
loath;abgeneigt
rampart;Wall
extort;erpressen
tarry;verweilen
perpetrate;begehen
decorum;Anstand
luxuriant;üppig
cant;kippen
enjoin;gebieten
avarice;Habsucht
edict;Edikt
disconcert;beunruhigt
symmetry;Symmetrie
capitulate;kapitulieren
arbitrate;vermitteln
cleave;spalten
append;anhängen
visage;Antlitz
horde;Horde
parable;Gleichnis
chastise;züchtigen
foil;Folie
veritable;veritable
grapple;greifen
gentry;Gentry
pall;Leichentuch
maxim;Maxime
projection;Projektion
prowess;Fähigkeiten
dingy;schmuddelig
semblance;Anschein
tout;Schlepper
fortitude;Kraft
asunder;auseinander
rout;Router
staid;staid
beguile;betören
purport;vorgeben
deprave;verderben
bequeath;vererben
enigma;Rätsel
assiduous;fleißig
vassal;Vasall
quail;Wachtel
outskirts;Stadtrand
bulwark;Bollwerk
swerve;Effet
gird;gürten
betrothed;verlobt
prospective;prospektiv
advert;Inserat
peremptory;peremptorisch
rudiment;Rudiment
deduce;ableiten
halting;stockend
ignominy;Schmach
ideology;Ideologie
pallid;bleich
chagrin;Ärger
obtrude;aufdrängen
audacious;kühn
construe;konstruieren
ford;Ford
repast;Mahl
stint;Stint
fresco;Fresko
dutiful;pflichtbewusst
hew;hauen
parity;Parität
affable;freundlich
interminable;endlos
pillage;plündern
foreboding;Ahnung
rend;zerreißen
livelihood;Lebensunterhalt
deign;geruhen
capricious;launisch
stupendous;gewaltig
chaff;Spreu
innate;angeboren
reverie;Träumereien
wrangle;streiten
crevice;Spalt
ostensible;vorgeblich
craven;feige
vestige;Spur
plumb;Lot
reticent;zurückhaltend
propensity;Neigung
chide;schelten
espouse;zu unterstützen
raiment;Gewand
intrepid;unerschrocken
seemly;schicklich
allay;zerstreuen
fitful;unbeständig
erode;erodieren
unaffected;unberührt
canto;Gesang
docile;fügsam
patronize;bevormunden
teem;wimmeln
estrange;entfremden
spat;gespuckt
warble;trällern
mien;Miene
sate;stillen
constituency;Wahlkreis
patrician;Patrizier
parry;parieren
practitioner;Praktiker
ravel;Ravel
infest;befallen
actuate;betätigen
surly;mürrisch
convalesce;genesen
demoralize;demoralisieren
devolve;übertragen
alacrity;Bereitwilligkeit
waive;verzichten
unwonted;ungewohnt
seethe;kochen
scrutinize;prüfen
diffident;schüchtern
execrate;verfluchen
implacable;unerbittlich
pique;pique
mite;Milbe
encumber;belasten
uncouth;ungehobelt
petulant;gereizt
expiate;sühnen
cavalier;Kavalier
banter;Geplänkel
bluster;toben
debase;erniedrigen
retainer;Halter
subjugate;unterwerfen
extol;verherrlichen
fraught;angespannt
august;August
fissure;Spalt
knoll;Hügel
callous;gefühllos
inculcate;einschätzen
nettle;Nessel
blanch;blanchieren
inscrutable;unergründlich
tenacious;zäh
thrall;Knechte
exigency;Notwendigkeit
disconsolate;trostlos
impetus;Impetus
imposition;Verhängung
auspices;Auspizien
sonorous;klangvoll
exploitation;Ausbeutung
bane;Fluch
dint;Dint
ignominious;schmählich
amicable;freundschaftlich
onset;Beginn
conservatory;Wintergarten
zenith;Zenit
voluble;redegewandt
yeoman;Yeoman
levity;Leichtfertigkeit
rapt;begeistert
sultry;schwül
pinion;Ritzel
axiom;Axiom
descry;erkundigen
retinue;Gefolge
functionary;Funktionär
imbibe;trinken
diversified;diversifiziert
maraud;plündern
grudging;widerwillig
partiality;Parteilichkeit
philology;Philologie
wry;schief
caucus;Ausschuss
permeate;durchdringen
propitious;günstig
salient;hervorstechend
propitiate;besänftigen
excise;Verbrauchsteuer
betoken;bedeuten
palatable;schmackhaft
upbraid;rügen
renegade;Renegat
hoary;grauhaarig
pedantic;pedantisch
coy;schüchtern
troth;troth
encroachment;Eingriff
belie;belügen
armada;Armada
succor;Beistand
imperturbable;unerschütterlich
irresolute;unentschlossen
knack;Talent
unseemly;ungehörig
accentuate;akzentuieren
divulge;enthüllen
brawn;Sülze
burnish;polieren
palpitate;Herzklopfen
promiscuous;Promiscuous
dissemble;verbergen
flotilla;Flottille
invective;Schmähung
hermitage;Einsiedelei
despoil;plündern
sully;besudeln
malevolent;böswillig
irksome;lästig
prattle;Geschwätz
subaltern;Unteraltern
welt;welt
wreak;anrichten
tenable;haltbar
inimitable;unnachahmlich
depredation;Verwüstung
amalgamate;verschmelzen
immutable;unveränderlich
proxy;Proxy
dote;dote
reactionary;reaktionär
rationalism;Rationalismus
endue;Ende
discriminating;diskriminierend
brooch;Brosche
pert;pert
disembark;aussteigen
aria;Arie
trappings;Fallen
abet;abet
clandestine;heimlich
distend;dehnt sich aus
glib;glib
pucker;Fältchen
rejoinder;Gegenerwiderung
spangle;Zinkblume
blighted;verdorben
nicety;Feinheit
aggrieve;betrüben
vestment;Gewand
urbane;urban
defray;bestreiten
spectral;spektral
munificent;Großzügig
dictum;Diktum
fad;Mode
scabbard;Scheide
adulterate;verfälschen
beleaguer;belagern
gripe;meckern
remission;Remission
exorbitant;exorbitant
invocation;Aufruf
cajole;Schmeichelei
inclusive;inklusive
interdict;Interdikt
abase;erniedrigen
obviate;vermeiden
hurtle;rasen
unanimity;Einstimmigkeit
mettle;Eifer
interpolate;interpolieren
surreptitious;heimlich
dissimulate;verbergen
ruse;List
specious;trügerisch
revulsion;Abscheu
hale;gesund
palliate;lindern
obtuse;stumpf
querulous;Querulant
vagary;Laune
incipient;beginnend
obdurate;verstockt
grovel;kriechen
refractory;feuerfest
dregs;Bodensatz
ascendancy;Überlegenheit
supercilious;hochnäsig
pundit;Pandit
commiserate;Mitgefühl
alcove;Alkoven
assay;Test
parochial;Pfarrer
conjugal;ehelich
abjure;abschwören
frieze;Fries
ornate;aufwendig
inflammatory;entzündlich
machination;Machenschaften
mendicant;Bettler
meander;Mäander
bullion;Goldbarren
diffidence;Schüchternheit
makeshift;behelfsmäßig
husbandry;Haltung
podium;Podium
dearth;Mangel
granary;Getreidespeicher
whet;wetzen
imposture;Schwindel
diadem;Diadem
fallow;Brache
hubbub;Tumult
dispassionate;leidenschaftslos
harrowing;erschütternd
askance;schief
lancet;Lanzette
rankle;rangeln
ramify;verzweigen
gainsay;widersprechen
polity;Gemeinwesen
credence;Glaubwürdigkeit
indemnify;entschädigen
ingratiate;angratiate
declivity;Abschüssigkeit
importunate;aufdringlich
passe;passe
whittle;schnitzen
repine;hadern
flay;schinden
larder;Speisekammer
threadbare;fadenscheinig
grisly;grausig
untoward;ungünstig
idiosyncrasy;Idiosynkrasie
quip;witzeln
blatant;eklatant
stanch;stanch
incongruity;Inkongruenz
perfidious;perfide
platitude;Platitüde
revelry;Gelage
delve;vertiefen
extenuate;beschönigen
polemic;Polemik
enrapture;entzücken
virtuoso;Virtuose
glower;finsterer
mundane;banal
fatuous;dämlich
incorrigible;unverbesserlich
postulate;Postulat
gist;Kern
vociferous;lautstark
purvey;liefern
baleful;unheilvoll
gibe;Stichelei
dyspeptic;dyspeptisch
prude;prüde
luminary;Leuchte
amenable;zugänglich
willful;eigenwillig
overbearing;anmaßend
dais;Podium
automate;automatisieren
enervate;entnerven
wheedle;Schmeichelei
gusto;Gusto
bouillon;Bouillon
omniscient;allwissend
apostate;Apostat
carrion;Aas
emolument;Vergütung
ungainly;unbeholfen
impiety;Gottlosigkeit
decadence;Dekadenz
homily;Predigt
avocation;Berufung
circumvent;umgehen
syllogism;Syllogismus
collation;Kollation
haggle;feilschen
waylay;auflauern
savant;Gelehrter
cohort;Kohorte
unction;Salbung
adjure;beschwören
acrimony;Bitterkeit
clarion;Clarion
turbid;trübe
cupidity;Begierde
disaffected;unzufrieden
preternatural;übernatürlich
eschew;vermeiden
expatiate;expatiate
didactic;didaktisch
sinuous;gewunden
rancor;Rancor
puissant;mächtig
homespun;hausgemacht
embroil;verwickeln
pathological;pathologisch
resonant;resonant
libretto;Libretto
flail;Schlegel
bandy;Bandy
gratis;gratis
upshot;Ergebnis
